STD 1,0.006,0.007,0.265,0.209,0.139,0.154,1.1,1.082,0.719,0.733,0.033,0.04
STD2,0.25,0.223,0.547,0.558,0.164,0.168,0.232,0.216,0.801,0.782,1.071,1.087
STD 3,0.65,0.625,0.961,0.933,1.02,0.968,0.751,0.732,0.52,0.499,0.345,0.387
STD 4,0.836,0.816,1.122,1.012,0.113,0.111,0.204,0.213,0.975,0.997,0.2,0.198
STD 5,1.096,1.092,0.898,0.819,0.146,0.143,0.053,0.048,0.55,0.512,0.058,0.068
CTRL 1,0.149,0.145,0.824,0.882,0.556,0.529,0.044,0.047,0.115,0.117,0.197,0.184
CTRL 2,0.825,0.768,0.808,0.796,0.476,0.501,1.232,1.341,0.227,0.224,0.115,0.114
Stool,0.188,0.189,0.58,0.583,0.901,0.791,0.517,0.521,1.043,1.011,0.076,0.074
,,,,,,,,,,,,
,Reader LEDETECT 96,,,,,,,,,,,
,TimeStamp = 28/05/2021 16:33:11,,,,,,,,,,,
,Meas.-Filter = 450,,,,,,,,,,,
,Ref.-Filter = 620,,,,,,,,,,,
